misc
"アクション名","アクションタイプ","類似業績マージ優先度","タイトル(日本語)","タイトル(英語)","著者(日本語)","著者(英語)","担当区分","概要(日本語)","概要(英語)","出版者・発行元(日本語)","出版者・発行元(英語)","出版年月","誌名(日本語)","誌名(英語)","巻","号","開始ページ","終了ページ","記述言語","査読の有無","招待の有無","掲載種別","国際・国内誌","国際共著","DOI","ISSN","eISSN","URL","URL2","主要な業績かどうか","公開の有無"
"insert","similar_merge","input_data","コネクテッド・ヒューマンによる空間状況把握プラットフォーム","null","天野 辰哉,山口 弘純,東野 輝夫","null","[lead]","null","null","null","null","2020/06/25","マルチメディア,分散,協調とモバイル(DICOMO 2020)シンポジウム","null","null","null","null","null","jpn","TRUE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","AP選択支援のための3次元Wi-Fi位置データベース構築と評価","null","天野 辰哉,山口 弘純,東野 輝夫","null","[lead]","null","null","null","null","2020/06/26","通信方式研究会（CS）信学技報, vol. 120, no. 75, CS2020-11","null","null","null","null","null","jpn","TRUE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","深層学習によるリンク交通量からOD交通量の推定手法","null","阿倉 佑樹,Choochotkaew Sunyanan,天野 辰哉,山口 弘純,廣森 聡仁,東野 輝夫,西村 友佑,諏訪 晃,長村 吉富,竹嶋 進,髙井 峰生","null","null","null","null","null","null","2020/01","研究報告高度交通システムとスマートコミュニティ（ITS）","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","スマートフォンを用いたコンテキスト推定のためのVRによる危険状況再現システム","null","天野 辰哉,秋川 亮太,内山 彰,廣森 聡仁,山口 弘純,東野 輝夫,鈴木 理基,稗圃 泰彦,北原 武","null","[lead]","null","null","null","null","2019/11","第27回マルチメディア通信と分散処理(DPS)ワークショップ","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","都市環境における3次元Wi-Fi AP位置データベースの自動構築システム","null","天野 辰哉,山口 弘純,東野 輝夫,高井 峰生","null","[lead]","null","null","null","null","2019/09","第18回情報科学技術フォーラム（FIT2019）講演論文集","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","クラウドセンシングによる屋内Wi-Fi APの3次元位置推定手法","null","天野 辰哉,山口 弘純,東野 輝夫,高井 峰生","null","[lead]","null","null","null","null","2019/07","マルチメディア,分散,協調とモバイル(DICOMO 2019)シンポジウム","null","null","null","null","null","jpn","TRUE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","高齢者のユーザビリティを考慮したセミデマンドバス向け低コスト予約システムの開発と運用","null","阿倉 佑樹,天野 辰哉,廣森 聡仁,山口 弘純,内山 彰,東野 輝夫,新井 圭太","null","null","null","null","null","null","2019/01","情報処理学会 第81回全国大会","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","VRによるスマートフォンアプリ検証システムの構築","null","天野 辰哉,梶田 宗吾,山口 弘純,東野 輝夫,高井 峰生","null","[lead]","null","null","null","null","2019/01","情報処理学会 第81回全国大会","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","VRによる都市空間Wi-Fiの可視化とユーザ体感品質の調査手法","null","天野 辰哉,梶田 宗吾,山口 弘純,東野 輝夫,高井 峰生","null","[lead]","null","null","null","null","2018/07","マルチメディア,分散,協調とモバイル(DICOMO 2017)シンポジウム","null","null","null","null","null","jpn","TRUE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
"insert","similar_merge","input_data","通信混雑環境における都市Wi-Fiアクセスポイントの追加設置支援","null","梶田 宗吾,岩崎 博生,天野 辰哉,山口 弘純,東野 輝夫,高井 峰生","null","null","null","null","null","null","2018/03","情報処理学会 第80回全国大会","null","null","null","null","null","jpn","FALSE","null","summary_national_conference","null","null","null","null","null","null","null","FALSE","disclosed"
